,Project ID,name,long,lat,First Year of Project,Type,Country
460,2371217,Electricity Generation through Wind Power by SRHHL,77.553347,9.9275,,Wind,India
474,23752,Nascente Ceramic Fuel Switching Project,-51.863889,-21.365278,2007,Biomass,Brazil
487,237316,PARAMONGA BAGASSE BOILER PROJECT,-77.816667,-10.672222,2009,Biomass,Peru
488,2371254,"Yelisirur wind power project, India",75.581065,15.275751,2012,Wind,India
494,237331,Green Energy to Grid at Dhule Maharashtra,74.333542,21.306205,,RE Bundled,India
499,2371345,Boyabat Hydroelectric Power Plant,35.06277,41.423611,2012,Hydropower,Turkey
500,237321,"6.2 MW Bundled Wind Project in Tamil Nadu, Rajasthan and Maharashtra by Interocean.",73.989353,17.125,2007,Wind,India
505,2371037,"Guazhou Beidaqiao No.1 Wind Farm Project in Gansu Province, China",95.8037,40.6025,2011,Wind,China
508,2372762,Guizhou Xintian CMM Power Generation Project,106.100076,27.106166,,,
513,237435,Gansu Huanghe Chaijiaxia Hydropower Station Project,103.535556,36.119722,2008,Hydropower,China
514,237343,"7.03 MW Bundled grid connected wind electricity generation project in Tamil Nadu and Karnataka, India",77.581722,8.306722,,Wind,India
516,2372754,"Household Biogas Carbon Offset Project for Clean, Convenient and Efficient Cooking by INSEDA Engineers and Consultants Private Limited (INSEDA-Engg)",78.656,22.973,,,
523,2372746,Guangzhou Eastern Solid Resource Recycling Center MSW Integrated treatment Plant Project,113.515,23.284444,,Biomass,China
527,237338,"Methane Recovery Project Praktijkcentrum Sterksel, North Brabant, The Netherlands",5.625,51.3725,,,
528,237457,"Cassava Waste To Energy Project, Kalasin, Thailand (CWTE project)",103.556944,16.488056,,,
533,237815,Chifeng Sunjiaying Wind Power Project,118.083331,42.7,2008,Wind,China
534,237458,6 MW Wind Power Project in Maharashtra by PTC India,73.908278,19.788583,,Wind,India
535,237360,"5.65 MW Bundled grid-connected wind electricity generation project in Tamil Nadu and Karnataka, India",77.573972,8.223944,2006,Wind,India
536,237421,Jiangsu Qidong Dongyuan Wind Power Project,121.733247,31.857289,2008,Wind,China
541,2371843,100 MW SOLAR BY GIRIRAJ RENEWABLES PVT. LTD.- SATARA.,73.983056,17.691389,,Solar - Centralized,India
542,237459,Hubei Jiugongshan Wind Farm CDM Project,111.645278,29.387778,2007,Wind,China
547,237377,"11.60 MW Bundled grid-connected wind electricity generation project at Tirunelveli, Tamil Nadu, India",77.555555,8.338345,2006,Wind,India
552,237395,Inner Mongolia Sunjiaying 50.25MW Wind Power Project,118.049083,42.689167,2008,Wind,China
559,237540,CGN Inner Mongolia Huitengliang Phase I Wind Farm Project,115.0947,43.4658,2009,Wind,China
560,237453,Gansu Huanghe Bingling Hydropower Station Project,102.990278,35.824167,2008,Hydropower,China
568,237890,Inner Mongolia Wengniute Banner Wudaogou Wind Power Project (II),117.908608,42.693046,2008,Wind,China
575,237490,Enercon Wind Farms (Hindustan) Pvt Ltd in Rajasthan,70.958333,26.683333,2007,Wind,India
576,23735,Zhuhai Hengqin Island Wind Farm Project,113.525,22.108333,2008,Wind,China
582,237493,"5 MW Brahm Ganga Hydro â€“ Electric Project at Kullu district of Himachal Pradesh, India",77.355556,32.033333,2010,Hydropower,India
583,23739,"Offis Textile Ltd. Fuel Switch, Israel",34.803121,32.028726,,,
584,237931,6.25 MW Wind Project in Tamil Nadu India,77.129526,10.935722,2006,Wind,India
586,2372682,Luoyang Landfill Site LFG Recovery to Electricity Project,112.484166,34.734999,,,
588,2371840,OvejerÃ­a Photovoltaic Power Plant,-70.768,-33.095,,Solar - Centralized,Chile
589,237481,9 MW Wind Power Project in Tamil Nadu by ACC Limited,77.15,8.133333,2007,Wind,India
590,23743,Fuel Switch from fossil fuel to renewable biomass for thermal energy applications in Rajasthan,76.633333,27.566667,2006,Biomass,India
595,237276,Jilin Tongyu Tongfa Wind Power Project,122.033333,44.216667,2007,Wind,China
596,237495,"Positive Climate Care 8.75 MW bundled Wind Power Project Activity in the state of Maharashtra, India.",74.293917,21.205806,2006,Wind,India
600,2372659,Ruijing Geothermal Based Space Heating System,115.493638,33.87597,,,
604,237501,"Positive Climate Care 8.70 MW bundled Wind Power Project Activity in the state of Maharashtra, India",74.73022,17.15711,2006,Wind,India
605,23759,Biomass powered process heat production and use project at Kangwal,99.816667,13.283333,2005,Biomass,Thailand
606,237303,"Positive Climate Care 9.75 MW Bundled Wind Power Project Activity by Savita Oil Technologies Ltd. & its group companies in the state of Maharashtra, India",73.979583,17.105722,2007,Wind,India
609,2372616,BQS improved cookstoves for Burundiâ€™s schools,29.359998,-3.37611,,,
610,237509,6.65 MW wind energy generation by GTN Enterprises Ltd,77.23135,10.600267,2009,Wind,India
611,23761,TapajÃ³s Ceramic Fuel Switching Project,-51.829917,-21.320783,2006,Biomass,Brazil
615,2371836,Guanaquitas 9.74 MW Hydroelectric Project,-75.290278,6.659167,2010,Hydropower,Colombia
616,237499,"Positive Climate Care 4.67 MW Bundled Grid connected Wind Power Project Activity in Jaisalmer, Rajasthan, India",71.092639,26.777083,2006,Wind,India
618,2372635,Luohe Geothermal Based Space Heating System,113.45,33.579666,,Geothermal,China
622,237516,"5 MW Debal Grid-connected Hydroelectric Project in Uttaranchal, India",79.552778,30.05,2010,Hydropower,India
623,237123,Longwangtan 15MW Hydro Power Project in Guizhou Province,108.666667,25.883333,2006,Hydropower,China
628,237528,Panjin Rice Husk Thermal Energy Generation Project,122.010433,41.249131,2010,Biomass,China
629,23776,Liaoyuan Jingang cement Waste Heat Recovery,125.454444,43.3247,,,
634,237361,"5.725 MW Bundled grid-connected wind electricity generation project, Tamil Nadu, India",77.364833,8.985528,2006,Wind,India
635,237529,Jilin Rice Husk Thermal Energy Generation Project,126.527878,44.067153,2010,Biomass,China
636,23790,Dongliuxi Erji 12.6 MW Hydropower Project in Hubei Province,110.864717,30.5019,2007,Hydropower,China
640,2371158,Ethanol & Sugar Project Suriname,-56.655276,5.843884,,Biomass,Suriname
641,237538,14.1 MW grid connected wind energy project in Tamilnadu by ITC Limited,77.439833,9.888667,2010,Wind,India
642,237105,Maoshaping Hydro Power Project,99.955556,25.669444,2008,Hydropower,China
646,2371255,5.35 MW Wind Power Project by GeeCee Ventures Ltd,77.048392,26.679321,,Wind,India
648,237551,SSL Wind Power Project,74.263556,21.233111,,Wind,India
649,237107,Amatitlan Geothermal Project,-90.583333,14.383333,2007,Geothermal,Guatemala
654,237770,2.10MW Wind Project in Rajasthan,73.076357,26.677111,,Wind,India
656,237555,"Emission free electricity generation at Harihar, Karnataka",75.770611,14.25975,,RE Bundled,India
657,2372588,Taiba Nâ€™Diaye Wind Power,16.858944,15.010137,2019,Wind,Senegal
660,237118,Huangyutang Hydro Power Project in Guizhou Province,107.261111,27.516944,2006,Hydropower,China
661,2371302,Thermal Energy Generation Using Biomass by Kwality Dairy (India) Limited (KDIL),77.303083,28.38238,,Biomass,India
662,23751,29.70 MW Wind Power project in Karnataka India,76.333333,14.466667,2008,Wind,India
668,2371304,Guohua Rongcheng Phase III Wind Farm Project,121.183333,36.683332,2010,Wind,China
669,23730,Hunan Dongping 72MW Hydropower Project,111.333333,28.333333,2007,Hydropower,China
670,237828,12.25 MW Bundled Wind Power Project in India,74.246666,21.238887,2006,Wind,India
671,2372571,Renewable Electricity Grouped Project in Africa,34.7775,9.628056,,RE Bundled,Tanzania
676,237841,1 MW Grid Interactive Solar PV Power Generation Project of MSPGCL,79.271,20.021594,2011,Solar - Centralized,India
677,2371831,"Wind Energy Project at Devbhoomi Dwaraka,Gujarat by Powerica Limited",69.541667,22.295,2015,Wind,India
682,237881,OLKARIA III PHASE 2 GEOTHERMAL EXPANSION PROJECT IN KENYA,36.359444,0.901665,2008,Geothermal,Kenya
686,2372546,Enking International Grouped project â€“ Solar Water Heating systems,72.895604,19.057424,,Solar Water Heaters,India
687,2372540,Improved cookstoves for Burundi restaurants,29.359998,-3.37611,,,
695,237675,"Generation of Electricity from windmills by GHCL Limited, at Dist Erode, Tamil Nadu",77.458056,10.726667,,Wind,India
697,237251,Biomass Based Cogeneration Project at Nectar Life Sciences Ltd,76.880833,30.586111,2007,Biomass,India
701,2372522,Installation of high efficiency wood burning cookstoves in Thailand,100.992541,15.870032,,,
703,237681,50.4 MW Tata Wind Farm in Maharashtra,74.826802,19.105083,2007,Wind,India
707,2372517,EV Charging Infrastructure Project by EnKing International,82.794998,21.125681,,,
712,2371824,"Liucheng Biomass Power Generation Project in Guangxi Zhuang Autonomous Region, China",109.1294,24.3864,2009,Biomass,China
718,2371294,"Electric Power Generation from Renewable Sources - Barra da PaciÃªncia, Ninho da Ãguia, Corrente Grande, Paiol, SÃ£o GonÃ§alo and VÃ¡rzea Alegre Small Hydropower Plants",-45.329722,-22.493333,2011,Hydropower,Brazil
719,237714,Liaoning Changtu Shihu Wind Power Project,124.216666,42.866666,2008,Wind,China
726,237345,Wind power project by HZL in Karnataka.,75.561889,15.357833,2009,Wind,India
728,2372501,Durban Landfill-Gas Bisasar Road.,27.854383,-26.828603,,,
738,2372486,Hydrogen based steam generation at New Johnsonville,-87.975359,36.038691,,,
740,237887,Guangxi Youjiang Naji Navigation and Power Generation Project,106.766667,23.783333,2009,Hydropower,China
742,237494,Zhangjiagang Nature Gas Power Generation Project,120.6,31.9,,,
746,2371126,Jilin Liaoyuan 50MW Level Biomass Cogeneration Project,125.256111,42.923055,2007,Biomass,China
757,2372467,Bayburt Landfill Gas to Energy Project,40.193161,40.293472,,,
758,2372466,"BUNDLED WIND POWER PROJECT IN TAMILNADU, INDIA CO-ORDINATED BY THE TAMILNADU SPINNING MILLS ASSOCIATION (TASMA.)",77.294167,10.568611,,Wind,India
765,237581,"Grid Connected bundled wind power project in Rajasthan, Andhra Pradesh and Tamil Nadu",72.845258,26.454055,,Wind,India
768,2372450,Starsight Energy - Rooftop Solar PV and Efficient Air Conditioners,8.675277,9.081999,,,
774,2372246,Nallakonda wind farm in Andhra Pradesh,77.571019,14.175632,,Wind,India
775,237602,Maguary Ceramic Fuel Switching Project,-35.235278,-7.754722,2008,Biomass,Brazil
782,237744,Pawan Urja Vistaran: Small entities combined wind power project in India - 2008,74.336666,17.564167,2008,Wind,India
783,2371812,VTRM Renewable Energy,-40.677149,-7.752408,2016,RE Bundled,Brazil
786,2372445,Bundled Solar Water Heater Project,74.233333,21.35,,Solar Water Heaters,India
787,2372434,Off grid Solar PV project at IAMGOLD Essakane SA Gold Mine,4.500276,14.358055,2019,Solar - Distributed,Burkina Faso
788,2372433,Use of waste gas at Namakwa Sands in South Africa,18.044166,-32.961944,,,
799,2372238,Duzce Aksu Hydro Electricity Power Plant - DUPLICATE (replaced by VCSR1815),30.963867,40.702241,,Hydropower,Turkey
805,2371810,"Tri-Mid, LLC",-102.669167,32.117778,,Solar - Centralized,United States
808,2371807,"Biomass based thermal energy generation project by Dynamic Fine Paper Mill at Polai Kalan, Deegod, Kota",76.077777,25.170556,2016,Biomass,India
809,237635,Dak Rung Hydropower Project,107.6237,12.1538,2010,Hydropower,Vietnam
812,237180,Rialma Companhia EnergÃ©tica I S/A. â€“ Santa Edwiges I Small Hydro Power Plant - Small Scale CDM Project,-46.215278,-14.312778,2007,Hydropower,Brazil
815,2372409,Cleaner Cooking Solutions Program,104.990963,12.565679,,,
819,237560,Low pressure steam generation by recovering waste heat using Heat Re-claimers at Emirates CMS Power,54.683897,24.761166,,,
821,237768,Dalmia Chini Mills Jawaharpur Project,80.558054,27.526111,,Biomass,India
827,2372066,PEBSA II-Del Bicentenario II Wind Farm,-67.035555,-47.263055,,Wind,Argentina
828,2371803,"Distribution of ONIL Stoves â€“ Mexico, CPA 002",-99.09,19.24,,,
830,2372390,Installation of high efficiency wood burning cookstoves in Angola,17.873887,-11.202692,,,
835,2371196,Gansu Yongdeng Longlin Hydro Power Project,103.263889,36.695556,2011,Hydropower,China
839,2372381,Durango â€“ EcoMethane Landfill Gas to Energy Project,104.516666,23.883333,,,
840,2372380,Installation of high efficiency wood burning cookstoves in Rwanda,29.873888,-1.940278,,,
842,2372060,Suba and Usaquen Hydroelectric Umbrella Project,-74.0836,4.712,2014,Hydropower,Colombia
843,237663,"8.0 MW Wind Power Project activity by Sree Iswarya Textiles Private Limited, at Dist Erode, Tamil Nadu",76.777218,11.780585,,Wind,India
847,237565,40.0 MW DEGIRMENUSTU Hydroelectric Power Plant,36.46964,37.650654,2009,Hydropower,Turkey
848,2372059,Renewable Solar Power Project by Mahindra Renewables Private Limited,81.548056,24.4761,2018,Solar - Centralized,India
849,2372371,Installation of high efficiency wood burning cookstoves in Zambia - Project 2,27.849332,-13.133897,,,
850,2372372,Installation of high efficiency wood burning cookstoves in Malawi - Project 2,34.301525,-13.254308,,,
853,2372349,Installation of high efficiency wood burning cookstoves in Kenya,37.906193,-0.023559,,,
854,2372063,El Mataco y San Jorge Wind Farm,-62.281877,-38.320014,,Wind,Argentina
855,2371794,Interwaste Landfill gas Grouped Project,28.181472,-25.9585,,,
856,2372366,Installation of high efficiency wood burning cookstoves in Tanzania,34.888822,-6.369028,,,
859,2372351,Installation of high efficiency wood burning cookstoves in Mozambique,35.529562,-18.665695,,,
860,2372048,Kunming Shilin Grid-connected Solar Power Generation Project,103.421389,24.768888,,Solar - Centralized,China
865,2372350,Installation of high efficiency wood burning cookstoves in Uganda,32.290275,1.373333,,,
866,2372045,Huaneng Tuokexun Baiyanghe First Stage 49.5MW wind farm project,88.595,43.0639,,Wind,China
871,2371789,Renewable Power Project by SEI Kathiravan Power Private Limited,78.18,9.34,2017,RE Bundled,India
872,2372041,123 MW SOLAR PV IPP PROJECT ON LANDFILL IN BAHRAIN,50.5722,25.9044,,Solar - Centralized,Bahrain
873,2372347,FOÃ‡A BIOGAS ENERGY POWER PLANT,26.93785,38.664625,,,
878,2372046,200 MW Kom Ombo Solar PV Power Project In Egypt,32.847777,24.630278,,Solar - Centralized,Egypt
881,2372341,Installation of high efficiency wood burning cookstoves in Zimbabwe,29.154857,-19.015438,,,
886,2372334,Oaxaca II Wind Energy Project.,-94.789184,16.583006,2017,Wind,Mexico
887,2372035,Solar Power Project by Renew Solar Power Private Limited,71.9304,27.5176,,Solar - Centralized,India
891,2372323,7 MW Bundled Hydro power project at Himachal Pradesh of Raajratna Energy Holdings Pvt. Ltd,76.539444,32.785832,2015,RE Bundled,India
892,2372038,Energising Indian homes by Solar rooftop projects,77.209,28.6139,2017,Solar - Distributed,India
894,2372318,Luviro hydro plant,29.467499,1.230277,,Hydropower,DRC
900,2372030,Huaneng Daqing Xinli Wind Farm Project,124.538888,46.273887,,Wind,China
901,2371784,Solar Power Project by Mytrah Energy India Private Limited,78.421389,16.494167,2017,Solar - Centralized,India
904,2372309,Henrietta solar PV project,57.461944,20.334163,2019,Solar - Centralized,Mauritius
905,2372307,Ambatolampy 20 MW solar PV,47.444999,-19.489444,2018,Solar - Centralized,Madagascar
906,2372308,Solitude 16 MW solar PV,57.54166,20.078887,2018,Solar - Centralized,Mauritius
907,2372027,Bundled Solar Power Project by Hindustan Zinc Limited,73.7476,24.3516,,Solar - Centralized,India
908,2372303,Energy Efficient Cooking Solution for low emission development in Nepal - 2,84,28,,,
909,2372304,Energy Efficient Cooking Solution for low emission development in Nepal - 3,84,28,,,
912,2372300,Energy Efficient Cooking Solution for low emission development in Nepal-1,84,28,,,
914,2371786,Solar Photovoltaic Project by Giriraj Renewables Private Limited,74.122,22.144,2018,Solar - Centralized,India
920,237964,Uzundere I 63.0 MW Hydroelectric Power Plant Project,40.837777,40.751111,2011,Hydropower,Turkey
921,2371010,"Umut-III Hydropower Plant, Turkey",36.893056,40.751667,,Hydropower,Turkey
922,2371247,CGN Aletai Qinghe Phase I 20MWp Grid-connected PV Power Plant Project,90.0804,46.2044,2012,Solar - Centralized,China
923,2371013,"Basak Hydropower Plant, Turkey",32.754722,41.841944,,Hydropower,Turkey
924,2371676,Ã‡iÃ§ekli HEPP Project,41.500433,41.203838,,Hydropower,Turkey
926,237975,Chongqing Chengkou County Bashan Hydropower Station Project,108.462222,32.103056,2009,Hydropower,China
927,2371250,CGN Dunhuang 10MW Grid-connected Solar PV Power Generation Project,95.5061,40.0664,2012,Solar - Centralized,China
928,237434,Gansu Yongchang County Donghewan Cascaded Hydropower Project,101.869275,37.934314,2007,Hydropower,China
929,237418,Heilongjiang Yilan Maanshan Wind Power Project,129.95,46.1,2007,Wind,China
930,237840,WIND POWER PROJECT BY M/S DHARIWAL INDUSTRIES LTD. AND M/S R. M. DHARIWAL (HUF),79.151803,26.725359,2010,Wind,India
931,2371248,CGN Hami Phase I 20MWp Grid-connected PV Power Plant Project,93.38368,43.021364,2012,Solar - Centralized,China
932,237498,"Grid-connected wind electricity generation project in Tamil Nadu, India",77.683111,8.32575,2010,Wind,India
933,237393,Qingdao Huawei Windpower (QHW) Project,120.723381,36.456039,2009,Wind,China
934,2372012,Liaoning Fuxin Gaoshanzi 100.5MW Wind Power Project,121.748056,41.931387,,Wind,China
936,237443,Biomass based Cogeneration project by SSPL,78.798611,28.551388,2009,Biomass,India
937,237444,"Tongren Tianshengqiao Hydropower Project, Guizhou Province, China",109.223333,27.860277,2007,Hydropower,China
